Project ID,Project Name,Task Name,Task ID,Start Date,Finish Date,Status,Owner
P001,Website Redesign,Bug Fixing,252c9345,1/7/2025,1/9/2025,In Progress,John Campbell
P001,Website Redesign,Client Review,19a2d123,1/7/2025,1/14/2025,Not Started,Shawna Thompson
P001,Website Redesign,Code Review,eb8c7173,1/9/2025,1/14/2025,Delayed,Andrea Simmons MD
P001,Website Redesign,Frontend Development,d004bd0e,1/11/2025,1/13/2025,In Progress,Angela Murphy
P001,Website Redesign,Develop Draft Design,aa627573,1/12/2025,1/14/2025,Delayed,Angela Murphy
P001,Website Redesign,Sprint Planning,9d8dcf81,1/15/2025,1/22/2025,Completed,Angela Murphy
P001,Website Redesign,Database Setup,16e26d24,1/18/2025,1/21/2025,Not Started,Andrea Simmons MD
P001,Website Redesign,User Testing,a6161950,1/18/2025,1/24/2025,In Progress,Elizabeth Lopez
P001,Website Redesign,Database Setup,d6bdf1ce,1/21/2025,1/28/2025,Completed,Angela Murphy
P001,Website Redesign,Accessibility Compliance,60617896,1/22/2025,1/26/2025,Completed,Shawna Thompson
P001,Website Redesign,Quality Assurance,8907d24b,1/26/2025,1/29/2025,Completed,Travis Hays
P001,Website Redesign,Backend Development,4d7c5a68,1/26/2025,1/30/2025,Not Started,Travis Hays
P001,Website Redesign,Backend Development,da584e35,1/29/2025,2/3/2025,In Progress,Shawna Thompson
P001,Website Redesign,Go-Live,0d2e6e42,2/1/2025,2/4/2025,Delayed,Angela Murphy
P001,Website Redesign,Quality Assurance,60bbccea,2/1/2025,2/5/2025,Completed,Angela Murphy
P001,Website Redesign,Infrastructure Provisioning,9ab51503,2/4/2025,2/11/2025,In Progress,Travis Hays
P001,Website Redesign,Infrastructure Provisioning,b5771c86,2/8/2025,2/14/2025,Delayed,Ashley Shields
P001,Website Redesign,Launch Preparation,facf3f04,2/7/2025,2/9/2025,Completed,Kelly Chase
P001,Website Redesign,Database Setup,9a98a1cd,2/11/2025,2/14/2025,Completed,Shawna Thompson
P001,Website Redesign,Infrastructure Provisioning,d825affd,2/14/2025,2/17/2025,Delayed,Travis Hays
P001,Website Redesign,Deployment,71de6954,2/16/2025,2/20/2025,In Progress,Lori Cox
P002,Mobile App Development,Client Review,687a8cf6,3/13/2025,3/14/2025,Completed,John Campbell
P002,Mobile App Development,Finalize Design,c62654fc,3/16/2025,3/17/2025,Delayed,Shawna Thompson
P002,Mobile App Development,Backend Development,26fd48ae,3/18/2025,3/20/2025,Completed,Angela Murphy
P002,Mobile App Development,Launch Preparation,528aef41,3/20/2025,3/22/2025,In Progress,Elizabeth Lopez
P002,Mobile App Development,Launch Preparation,79327a5e,3/21/2025,3/27/2025,Completed,Travis Hays
P002,Mobile App Development,Finalize Design,5a19bf56,3/26/2025,3/30/2025,Completed,Jennifer Parker
P002,Mobile App Development,Database Setup,ed9ad1e4,3/28/2025,3/30/2025,In Progress,John Campbell
P002,Mobile App Development,User Testing,bc81f1da,3/30/2025,4/5/2025,Delayed,Jennifer Parker
P002,Mobile App Development,Go-Live,446b3e1b,3/31/2025,4/3/2025,Delayed,Jennifer Parker
P002,Mobile App Development,Bug Fixing,4dc76f9f,4/1/2025,4/8/2025,Not Started,Angela Murphy
P002,Mobile App Development,Submit for Approval,df14f261,4/4/2025,4/7/2025,Delayed,Shawna Thompson
P003,Backend API Development,Frontend Development,546d1a7b,1/30/2025,2/5/2025,Delayed,Andrea Simmons MD
P003,Backend API Development,Develop Draft Design,4d9c51b8,2/1/2025,2/4/2025,Not Started,Andrea Simmons MD
P003,Backend API Development,API Integration,85abde2c,2/3/2025,2/8/2025,Completed,Shawna Thompson
P003,Backend API Development,Accessibility Compliance,5198688e,2/6/2025,2/10/2025,In Progress,Ashley Shields
P003,Backend API Development,Bug Fixing,b5217e59,2/7/2025,2/9/2025,Completed,Ashley Shields
P003,Backend API Development,Develop Draft Design,223b4d16,2/11/2025,2/16/2025,Delayed,Shawna Thompson
P003,Backend API Development,Go-Live,f19c0018,2/13/2025,2/15/2025,Completed,Elizabeth Lopez
P003,Backend API Development,Go-Live,91b82184,2/13/2025,2/14/2025,Not Started,Lori Cox
P003,Backend API Development,Bug Fixing,6fd2a106,2/14/2025,2/17/2025,Completed,Lori Cox
P003,Backend API Development,Develop Draft Design,c6acefbf,2/19/2025,2/25/2025,Not Started,Kelly Chase
P003,Backend API Development,Infrastructure Provisioning,6ff8ad10,2/18/2025,2/20/2025,Not Started,Angela Murphy
P003,Backend API Development,Frontend Development,527ecebc,2/21/2025,2/24/2025,Delayed,Shawna Thompson
P003,Backend API Development,Finalize Design,6f379ae1,2/25/2025,2/28/2025,Delayed,Elizabeth Lopez
P003,Backend API Development,Develop Draft Design,76c50e4d,2/26/2025,2/27/2025,In Progress,Elizabeth Lopez
P003,Backend API Development,Database Setup,48af253e,2/28/2025,3/7/2025,Delayed,Ashley Shields
P003,Backend API Development,Infrastructure Provisioning,e2552364,3/3/2025,3/5/2025,In Progress,Shawna Thompson
P003,Backend API Development,Integration Testing,1db2fa85,3/5/2025,3/12/2025,Not Started,Ashley Shields
P003,Backend API Development,Database Setup,d5103e3f,3/5/2025,3/9/2025,Delayed,Kelly Chase
P003,Backend API Development,Deployment,6e2133df,3/6/2025,3/8/2025,Delayed,Ashley Shields
P004,Cloud Infrastructure Setup,Sprint Planning,c7b4a89e,3/8/2025,3/15/2025,Delayed,Kelly Chase
P004,Cloud Infrastructure Setup,Finalize Design,8eb0267e,3/8/2025,3/14/2025,Delayed,Travis Hays
P004,Cloud Infrastructure Setup,Database Setup,3a4f5e4b,3/11/2025,3/14/2025,Not Started,Angela Murphy
P004,Cloud Infrastructure Setup,Post-Launch Support,c1186998,3/15/2025,3/20/2025,Completed,Jennifer Parker
P004,Cloud Infrastructure Setup,Go-Live,ca635764,3/17/2025,3/19/2025,In Progress,Jennifer Parker
P004,Cloud Infrastructure Setup,Client Review,29a710cf,3/18/2025,3/21/2025,Delayed,Shawna Thompson
P004,Cloud Infrastructure Setup,Launch Preparation,5caa689e,3/19/2025,3/20/2025,In Progress,Angela Murphy
P004,Cloud Infrastructure Setup,Launch Preparation,c5657fa2,3/22/2025,3/29/2025,Completed,Jennifer Parker
P004,Cloud Infrastructure Setup,Security Audit,a48dddfb,3/24/2025,3/28/2025,Not Started,Jennifer Parker
P004,Cloud Infrastructure Setup,Client Review,1c2a8b5a,3/27/2025,4/2/2025,In Progress,Elizabeth Lopez
P004,Cloud Infrastructure Setup,Code Review,bfba5926,3/28/2025,4/4/2025,In Progress,Travis Hays
P004,Cloud Infrastructure Setup,Frontend Development,e14f1a94,3/28/2025,4/3/2025,Delayed,Kelly Chase
P004,Cloud Infrastructure Setup,Database Setup,5b458dbe,4/2/2025,4/9/2025,In Progress,John Campbell
P004,Cloud Infrastructure Setup,Submit for Approval,5cfbef32,4/3/2025,4/6/2025,Delayed,Travis Hays
P004,Cloud Infrastructure Setup,Sprint Planning,7b1ba67c,4/3/2025,4/4/2025,Not Started,Elizabeth Lopez
