Employee ID,Full Name,Title,Manager,Salary,City,State
E0001,"Gutierrez, Ryan",Chief Executive Officer,N/A,USD249341,Gary,IN
E0002,"Luna, Christina",Chief Technology Officer,N/A,USD210200,Naperville,IL
E0003,"Allen, Ashley",Chief Product Officer,N/A,USD215186,Gary,IN
E0004,"Rodriguez, Chelsea",Chief Marketing Officer,N/A,USD224159,Madison,WI
E0005,"Arnold, Sarah",Chief Operating Officer,N/A,USD231392,Milwaukee,WI
E0006,"White, David",Support Engineer,N/A,USD101895,Naperville,IL
E0007,"Harper, Ashley",Software Engineer,N/A,USD101541,South Bend,IN
E0008,"Barry, Evan",Mobile Technical Lead,N/A,USD77146,Madison,WI
E0009,"Douglas, Robert",Growth Manager,N/A,USD128484,Chicago,IL
E0010,"Callahan, Anna",Customer Success Manager,N/A,USD120677,Madison,WI
E0011,"Haynes, Erica",Application Support Analyst,N/A,USD82523,South Bend,IN
E0012,"Lara, Rachel",Product Manager,Erica Haynes,USD119405,Milwaukee,WI
E0013,"Alexander, Sarah",Automation Engineer,Erica Haynes,USD119820,Gary,IN
,,,,,,
E0014,"Perry, Tracey",Mobile Integration Engineer,Sarah Alexander,USD98997,Chicago,IL
E0015,"Soto, Nicholas",Mobile App Architect,Erica Haynes,USD69764,Gary,IN
E0016,"Mckenzie, Christina",Frontend Engineer,Rachel Lara,USD90888,Chicago,IL
E0017,"Harrison, Christine",Automation Engineer,Rachel Lara,USD95478,Peoria,IL
E0018,"Rodriguez, Kelly",Business Analyst,Christine Harrison,USD79648,Chicago,IL
E0019,"Harris, Samuel",iOS Developer,Rachel Lara,USD96969,Rockford,IL
E0020,"Freeman, Laura",Software Tester,Kelly Rodriguez,USD54124,Naperville,IL
E0021,"Simmons, Kimberly",DevOps Engineer,Kelly Rodriguez,USD110144,Rockford,IL
E0022,"Smith, Kristina",Full Stack Developer,Samuel Harris,USD105978,Chicago,IL
E0023,"Gilbert, Elizabeth",Community Manager,Erica Haynes,USD127528,Milwaukee,WI
E0024,"Juarez, Victoria",Mobile QA Engineer,-,USD96738,Peoria,IL
E0025,"Bryant, Michael",Platform Engineer,Erica Haynes,USD117216,Madison,WI
E0026,"Ortega, Jennifer",QA Analyst,Christine Harrison,USD60786,South Bend,IN
E0027,"Lewis, Kelsey",Agile Coach,Laura Freeman,USD54658,Rockford,IL
E0028,"Marshall, Larry",QA Analyst,Tracey Perry,USD88802,Gary,IN
E0029,"Graham, Donna",Support Engineer,-,USD101112,Milwaukee,WI
E0030,"Duncan, Tami",Mobile App Architect,Sarah Alexander,USD63468,Rockford,IL
E0031,"Martin, Robert",Lead Developer,Kristina Smith,USD111870,Milwaukee,WI
,,,,,,
E0032,"Buchanan, Brian",Scrum Master,Christina Mckenzie,USD47840,Madison,WI
E0033,"Brown, James",Digital Marketing Analyst,Tami Duncan,USD77382,Rockford,IL
E0034,"Murray, Sarah",Software Engineer,Nicholas Soto,USD134527,Gary,IN
E0035,"Ford, Paul",Mobile Advertising Manager,Tami Duncan,USD155033,Peoria,IL
E0036,"Bowman, Christina",Technical Writer,Samuel Harris,USD67831,Milwaukee,WI
E0037,"George, Victoria",Support Engineer,,USD133367,Rockford,IL
E0038,"Silva, Neil",Training Coordinator,Nicholas Soto,USD50004,Chicago,IL
E0039,"Peters, Victoria",Growth Manager,Nicholas Soto,USD119606,Rockford,IL
E0040,"Vaughn, Sarah",Agile Coach,Victoria George,USD74274,Naperville,IL
E0041,"Howe, Molly",Product Manager,Erica Haynes,USD117416,Gary,IN
E0042,"Graham, Victor",Content Strategist,,USD54480,Milwaukee,WI
E0043,"Hoover, Sandra",Backend Engineer,Sarah Alexander,USD101919,Gary,IN
E0044,"Hamilton, Tina",Mobile Security Analyst,Erica Haynes,USD76194,Gary,IN
E0045,"Tucker, Robert",Community Manager,Rachel Lara,USD137128,Rockford,IL
E0046,"Aguirre, David",Growth Manager,Rachel Lara,USD126115,Gary,IN
E0047,"Livingston, Laurie",Mobile Deployment Specialist,Christine Harrison,USD76289,Naperville,IL
E0048,"Martinez, Lauren",Build Engineer,Rachel Lara,USD105080,Gary,IN
E0049,"Gray, James",Engineering Manager,Kelly Rodriguez,USD156853,Gary,IN
E0050,"Cuevas, Erik",Mobile Technical Lead,,USD59374,Milwaukee,WI
E0051,"Moore, William",Solutions Architect,Samuel Harris,USD45187,South Bend,IN
E0052,"Lyons, Leon",Solutions Architect,Erica Haynes,USD81593,Naperville,IL
E0053,"Turner, Holly",Frontend Engineer,Rachel Lara,USD93904,Rockford,IL
E0054,"Roberts, Joshua",Backend Engineer,Erica Haynes,USD109313,Naperville,IL
E0055,"Foster, Jaclyn",Mobile Deployment Specialist,Christine Harrison,USD89915,Gary,IN
,,,,,,
E0056,"Miller, Rebecca",Release Manager,Laura Freeman,USD124718,Chicago,IL
E0057,"Poole, Richard",Frontend Engineer,Tracey Perry,USD135598,Madison,WI
E0058,"Mcdonald, Sierra",Android Developer,Kelly Rodriguez,USD135621,Gary,IN
E0059,"Alvarez, Joshua",UI/UX Designer,0,USD51947,Milwaukee,WI
E0060,"Little, Brandon",Principal Engineer,Kristina Smith,USD100366,Chicago,IL
E0061,"Webster, Amanda",Solutions Architect,Christina Mckenzie,USD54258,Milwaukee,WI
E0062,"Adams, Ronald",Product Manager,Tami Duncan,USD110817,Gary,IN
E0063,"Hernandez, David",Software Engineer,Nicholas Soto,USD120786,Madison,WI
E0064,"Nixon, Albert",Mobile Integration Engineer,Tami Duncan,USD135781,Peoria,IL
E0065,"York, Shelley",UX Researcher,Samuel Harris,USD67107,Naperville,IL
E0066,"Jefferson, Sandra",Growth Manager,0,USD155563,Chicago,IL
