Customer ID,Full Name,Date of Birth,Address 1,Address 2,City,State,ZIP/Postal,Country,Phone Number,Email
10001,"Ryan, William",4/15/2003,600 Mitchell Knoll Suite 264,,Lisaville,CA,96229,USA,519-486-1263,whitneychristopher@rice.net
10002,"Lowe, Tyler",4/15/1977,054 Ballard Crossing,Apt. 207,Kevinstad,CO,80537,USA,869-859-6195,christine30@rivera.info
10003,"Byrd, Mitchell",4/15/1994,8144 Patterson Brook Suite 842,Suite 434,Huntmouth,MI,09722,USA,721-670-2525,wangtammy@hotmail.com
10004,"Thompson, Christopher",4/15/1998,91339 Blankenship Viaduct Suite 916,,Lake Jillberg,KY,01089,USA,405-596-4798,desireedavis@barnett.com
10005,"Wiggins, Cindy",4/15/2006,5078 Emily Manor,,Perezfurt,WI,28028,USA,473-309-8228,foliver@gmail.com
10006,"Taylor, Cynthia",4/15/2006,2851 Edwards Shore,,Johnsonview,AR,14332,USA,639-458-9584,kimberlyfrazier@yahoo.com
10007,"Daniels, Cole",4/15/2007,90651 Bird Ridge Suite 169,Suite 645,North Michelle,OH,51116,USA,406-618-6674,nathanwashington@yahoo.com
10008,"Parker, Jerry",4/15/1987,644 Karen Rest Apt. 045,,Matthewtown,VT,62965,USA,993-470-8416,lindaprice@wood-clark.com
10009,"Mitchell, Laura",4/15/1998,5165 Bryan Junction Apt. 703,Apt. 075,Lake Leslie,MT,74401,USA,215-918-9769,lchoi@hall.biz
10010,"Brewer, Daniel",4/15/1995,626 Berry Lock Suite 661,Suite 546,New Brad,FL,69412,USA,368-370-7394 x7229,nicoledennis@wilson-hooper.com
10011,"Mitchell, Ryan",4/15/2007,05335 Wayne Burgs,,East Chelseafurt,TX,35333,USA,348-964-6245,davidwhitaker@gmail.com
10012,"Singleton, Troy",4/15/1972,3601 Jacob Land Apt. 166,,Castillomouth,ND,34570,USA,590-356-8822,kayla88@perez.net
10013,"Shaw, Christina",4/15/1990,729 Donald Mount,Apt. 461,Dustinside,ND,15750,USA,384-342-8185,melissagarcia@gmail.com
10014,"Berry, Matthew",4/15/2005,8722 Emily Cliff Apt. 707,Apt. 735,East Margaret,CA,21066,USA,181-245-4641,chad43@huerta.com
10015,"Williams, Cole",4/15/2005,4987 Miller Dale Suite 086,,Davidton,IL,40683,USA,627-566-8280,sierra86@yahoo.com
10016,"Ballard, Christina",4/15/2005,765 Briana Loaf,Apt. 297,Lake Patricia,CA,36894,USA,934-174-2333,alexandra80@galvan.com
10017,"West, Janet",4/15/2004,349 Smith Turnpike Apt. 846,,Allenshire,AZ,93296,USA,874-676-9505,stevenalexander@gibson.net
10018,"Strong, Brian",4/15/2000,55704 Johnson Islands,,Maloneview,PA,61655,USA,482-604-9812,carlsonraymond@hotmail.com
10019,"Ortiz, Teresa",4/15/2002,073 Faith Loaf Suite 057,Apt. 646,West Donna,IN,42264,USA,326-229-4070,spencernguyen@gmail.com
10020,"Hendrix, Valerie",4/15/2004,250 Ryan Club Suite 993,,Lake Karenville,FL,88920,USA,141-754-1466,sandovalrobert@washington.com
10021,"Trevino, Matthew",4/15/1998,19677 Jared Lake Suite 680,,West Mary,NY,05772,USA,431-703-1201,elee@young.biz
10022,"Reynolds, Justin",4/15/2006,75661 Collins Prairie Apt. 269,Suite 721,Hamiltonburgh,FL,91655,USA,459-857-2856,uwilliamson@gmail.com
10023,"Kramer, David",4/15/2004,214 Bowen Landing,,Millershire,MO,38686,USA,488-429-6969,morganjennifer@hotmail.com
10024,"Rosales, George",4/15/2003,0349 Traci Center,Apt. 163,Kathybury,FL,73151,USA,430-846-2100,maryoconnell@gallegos.com
10025,"Aguirre, Mary",4/15/2001,71899 Miller Neck Suite 425,,Montoyachester,MT,41913,USA,383-410-4029,tracy44@gmail.com
10026,"Smith, Daisy",4/15/1992,931 Holly Bridge Apt. 080,Suite 544,North George,NJ,70004,USA,228-980-8689,barnesjason@hotmail.com
10027,"Hawkins, Maria",4/15/2005,131 Buck Valley,,Markston,IL,20759,USA,237-292-4838,lynchwilliam@yahoo.com
10028,"Shannon, Danielle",4/15/2000,95193 Russell Highway,Suite 061,Lake Kathrynmouth,KY,99326,USA,156-893-7658,adrianrandall@anderson.com
10029,"Burke, Kevin",4/15/1999,26216 Alexander Island,Apt. 252,New Stevenberg,FL,83934,USA,307-480-4190,bonniemorgan@yahoo.com
10030,"Hobbs, Joseph",4/15/2007,0796 Dan Mount Apt. 544,,East Ryan,ME,07386,USA,477-727-8738,bruce48@gmail.com
10031,"Jacobs, Michael",4/15/1998,67874 Craig Union Apt. 579,Apt. 557,East Karenview,PA,94944,USA,940-699-9875 x6587,james63@johnson-jackson.com
10032,"Reilly, Mary",4/15/2006,516 Jessica Coves,Apt. 216,North Michellemouth,CA,42187,USA,930-260-9253,john19@yahoo.com
10033,"Parker, Shawn",4/15/2007,666 Williams Stream,Apt. 111,Hughesside,NJ,95177,USA,820-222-7608,phoffman@mitchell.com
10034,"Gentry, Mary",4/15/1978,78542 Eric Plaza,Apt. 858,Scottmouth,OK,90040,USA,637-601-9008,kharrison@campbell-lopez.net
10035,"Myers, Derek",4/15/1974,441 Brooks Prairie,,North Tina,TX,18643,USA,433-748-8711,simmonstony@flowers.info
10036,"Williamson, Christine",4/15/1991,6803 Braun Summit Apt. 035,,West Markmouth,PA,61499,USA,980-665-3396,williamslinda@gmail.com
10037,"Robinson, Joseph",4/15/2004,19770 Hodges Walks Apt. 499,Suite 919,Lake Nicolemouth,MA,35747,USA,905-587-4118,chloefuller@harrington-rosales.com
10038,"Caldwell, Brandy",4/15/2006,060 Joshua Viaduct Suite 717,,West Melvin,CA,04557,USA,535-353-1776,qbrown@conley.com
10039,"Hebert, Michael",4/15/1996,060 Singh Mall,,Gordonside,MA,64757,USA,580-566-4596,zburnett@rogers.com
